,id,title,languages,publishers_raw,publication_types,mesh_headings,urls_raw,issns_print,issns_electronic,is_periodical,is_english,urls,publishers,url_roots,url_domains,issn_electronic,issn_print,urls_generated_guideline_pages_inc_404s,urls_generated_guideline_pages,include
24,0370270,Acta anaesthesiologica Scandinavica.,['eng'],"['Universitetsforlaget,', 'Wiley-Blackwell']",['Periodical'],['Anesthesiology'],['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576'],['0001-5172'],['1399-6576'],True,True,['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576'],"['Universitetsforlaget', 'Wiley-Blackwell']",['onlinelibrary.wiley.com'],['wiley.com'],1399-6576,0001-5172,['https://onlinelibrary.wiley.com/page/journal/10.1111/(issn)1399-6576/homepage/forauthors.html'],['https://onlinelibrary.wiley.com/page/journal/10.1111/(issn)1399-6576/homepage/forauthors.html'],True
25,101295064,Acta bio-medica : Atenei Parmensis.,['eng'],"['Ateneo parmense,', 'Mattioli 1885']",['Periodical'],['Medicine'],"['http://www.mattioli1885journals.com/index.php/actabiomedica/index', 'https://www.ncbi.nlm.nih.gov/pmc/journals/3185/']",['0392-4203'],['2531-6745'],True,True,['http://www.mattioli1885journals.com/index.php/actabiomedica/index'],"['Ateneo parmense', 'Mattioli 1885']",['www.mattioli1885journals.com'],['mattioli1885journals.com'],2531-6745,0392-4203,[],[],True
26,101206716,Acta biochimica et biophysica Sinica.,['eng'],"['Shanghai Scientific and Technical Publishers,', 'Oxford University Press']",['Periodical'],"['Biochemistry', 'Biophysics']",['https://academic.oup.com/abbs'],['1672-9145'],['1745-7270'],True,True,['https://academic.oup.com/abbs'],"['Shanghai Scientific and Technical Publishers', 'Oxford University Press']",['academic.oup.com'],['oup.com'],1745-7270,1672-9145,['https://academic.oup.com/abbs/pages/General_Instructions'],['https://academic.oup.com/abbs/pages/General_Instructions'],True
27,14520300R,Acta biochimica Polonica.,['mul'],['Panstwowe Wydawnictwo Naukowe'],['Periodical'],['Biochemistry'],['https://ojs.ptbioch.edu.pl/index.php/abp/about'],['0001-527X'],['1734-154X'],True,False,['https://ojs.ptbioch.edu.pl/index.php/abp/about'],['Panstwowe Wydawnictwo Naukowe'],['ojs.ptbioch.edu.pl'],['ptbioch.edu.pl'],1734-154X,0001-527X,[],[],False
28,101233144,Acta biomaterialia.,['eng'],"['Elsevier,']",['Periodical'],['Biocompatible Materials'],['http://www.sciencedirect.com/science/journal/17427061'],['1742-7061'],['1878-7568'],True,True,['http://www.sciencedirect.com/science/journal/17427061'],['Elsevier'],['www.sciencedirect.com'],['sciencedirect.com'],1878-7568,1742-7061,['https://www.elsevier.com/journals/17427061/1742-7061/guide-for-authors'],['https://www.elsevier.com/journals/17427061/1742-7061/guide-for-authors'],True
29,0421520,Acta biotheoretica.,['eng'],"['Brill.', 'Springer']",['Periodical'],"['Biology', 'Zoology']",['https://link.springer.com/journal/10441'],['0001-5342'],['1572-8358'],True,True,['https://link.springer.com/journal/10441'],"['Brill.', 'Springer']",['link.springer.com'],['springer.com'],1572-8358,0001-5342,['https://www.springer.com/journal/10441/submission-guidelines'],['https://www.springer.com/journal/10441/submission-guidelines'],True
30,0370570,Acta cardiologica.,['eng'],"['Acta Medica Belgica', 'Taylor & Francis']",['Periodical'],['Cardiology'],['http://www.tandfonline.com/loi/tacd20'],['0001-5385'],['1784-973X'],True,True,['http://www.tandfonline.com/loi/tacd20'],"['Acta Medica Belgica', 'Taylor & Francis']",['www.tandfonline.com'],['tandfonline.com'],1784-973X,0001-5385,['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tacd20'],['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tacd20'],True
31,101247110,Acta chimica Slovenica.,['eng'],"['Slovenian Chemical Society,']",['Periodical'],['Chemical Phenomena'],['https://journals.matheo.si/index.php/ACSi'],['1318-0207'],['1580-3155'],True,True,['https://journals.matheo.si/index.php/ACSi'],['Slovenian Chemical Society'],['journals.matheo.si'],['matheo.si'],1580-3155,1318-0207,[],[],True
32,0407123,Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca.,"['cze', 'eng']","['Avicenum,', 'Scientia Medica']",['Periodical'],"['Orthopedics', 'Wounds and Injuries']",['http://www.achot.cz'],['0001-5415'],[],True,True,['http://www.achot.cz'],"['Avicenum', 'Scientia Medica']",['www.achot.cz'],['achot.cz'],,0001-5415,[],[],True
33,0370301,Acta chirurgiae plasticae.,['eng'],['Galen Prague'],['Periodical'],"['Surgery, Plastic']",['http://www.prolekare.cz/en/acta-chirurgiae-plasticae'],['0001-5423'],['1805-4404'],True,True,['http://www.prolekare.cz/en/acta-chirurgiae-plasticae'],['Galen Prague'],['www.prolekare.cz'],['prolekare.cz'],1805-4404,0001-5423,[],[],True
34,0370571,Acta chirurgica Belgica.,"['fre', 'dut', 'eng']","['Acta Medica Belgica', 'Taylor & Francis']",['Periodical'],['General Surgery'],['http://www.tandfonline.com/loi/tacb20'],['0001-5458'],[],True,True,['http://www.tandfonline.com/loi/tacb20'],"['Acta Medica Belgica', 'Taylor & Francis']",['www.tandfonline.com'],['tandfonline.com'],,0001-5458,['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tacb20'],['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tacb20'],True
35,9103983,"Acta cirúrgica brasileira 
             / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia.","['eng', 'por']","['A Sociedade,', 'Sociedade Brasileira Para O Desenvolvimento Da Pesquisa Em Cirurgia Curso De Pos-Graduacao Em Tecnica Operatoria E Cirurgia Experimental Escola Paulista De Medicina']",['Periodical'],"['Surgical Procedures, Operative']","['http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-8650&lng=en&nrm=iso', 'https://www.ncbi.nlm.nih.gov/pmc/journals/3665/']",['0102-8650'],['1678-2674'],True,True,['http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-8650&lng=en&nrm=iso'],"['A Sociedade', 'Sociedade Brasileira Para O Desenvolvimento Da Pesquisa Em Cirurgia Curso De Pos-Graduacao Em Tecnica Operatoria E Cirurgia Experimental Escola Paulista De Medicina']",['www.scielo.br'],['scielo.br'],1678-2674,0102-8650,[],[],True
36,0370306,Acta clinica Belgica.,['eng'],"['Acta Clinica Belgica', 'Taylor & Francis']",['Periodical'],['Medicine'],['http://www.tandfonline.com/loi/yacb20'],['1784-3286'],['2295-3337'],True,True,['http://www.tandfonline.com/loi/yacb20'],"['Acta Clinica Belgica', 'Taylor & Francis']",['www.tandfonline.com'],['tandfonline.com'],2295-3337,1784-3286,['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yacb20'],['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yacb20'],True
37,9425483,Acta clinica Croatica.,['eng'],"['Klinička bolnica ""Sestre milosrdnice"" :', 'Institut za kliničko-medicinska istrazivanja u Zagrebu,', 'Sestre Milosrdnice University Hospital, Institute for Clinical Medical Research,']",['Periodical'],['Clinical Medicine'],"['https://www.ncbi.nlm.nih.gov/pmc/journals/3604/', 'http://hrcak.srce.hr/acta-clinica-croatica']",['0353-9466'],['1333-9451'],True,True,['http://hrcak.srce.hr/acta-clinica-croatica'],"['Klinička bolnica ""Sestre milosrdnice"" :', 'Institut za kliničko-medicinska istrazivanja u Zagrebu', 'Sestre Milosrdnice University Hospital, Institute for Clinical Medical Research']",['hrcak.srce.hr'],['srce.hr'],1333-9451,0353-9466,[],[],True
38,101620182,"Acta crystallographica. Section A, Foundations and advances.",['eng'],"['John Wiley & Sons Ltd,']",['Periodical'],['Crystallography'],['http://onlinelibrary.wiley.com/journal/10.1107/S20532733'],[],['2053-2733'],True,True,['http://onlinelibrary.wiley.com/journal/10.1107/S20532733'],['John Wiley & Sons Ltd'],['onlinelibrary.wiley.com'],['wiley.com'],2053-2733,,[],[],True
39,101609037,"Acta crystallographica Section B, Structural science, crystal engineering and materials.",['eng'],"['Wiley-Blackwell,']",['Periodical'],"['Crystallization', 'Crystallography']",['http://onlinelibrary.wiley.com/journal/10.1107/S20525206'],['2052-5192'],['2052-5206'],True,True,['http://onlinelibrary.wiley.com/journal/10.1107/S20525206'],['Wiley-Blackwell'],['onlinelibrary.wiley.com'],['wiley.com'],2052-5206,2052-5192,[],[],True
40,101620313,"Acta crystallographica. Section C, Structural chemistry.",['eng'],"['John Wiley & Sons Ltd,', 'International Union of Crystallography']",['Periodical'],"['Chemical Phenomena', 'Crystallography']","['http://journals.iucr.org/c/', 'http://onlinelibrary.wiley.com/journal/10.1107/S20532296']",[],['2053-2296'],True,True,"['http://journals.iucr.org/c/', 'http://onlinelibrary.wiley.com/journal/10.1107/S20532296']","['John Wiley & Sons Ltd', 'International Union of Crystallography']","['journals.iucr.org', 'onlinelibrary.wiley.com']","['iucr.org', 'wiley.com']",2053-2296,,[],[],True
41,101676043,"Acta crystallographica. Section D, Structural biology.",['eng'],"['John Wiley & Sons,', 'John Wiley & Sons']",['Periodical'],"['Biochemical Phenomena', 'Chemistry Techniques, Analytical', 'Molecular Structure']",['http://onlinelibrary.wiley.com/journal/10.1107/S20597983'],[],['2059-7983'],True,True,['http://onlinelibrary.wiley.com/journal/10.1107/S20597983'],"['John Wiley & Sons', 'John Wiley & Sons']",['onlinelibrary.wiley.com'],['wiley.com'],2059-7983,,[],[],True
42,101620319,"Acta crystallographica. Section F, Structural biology communications.",['eng'],"['John Wiley & Sons Inc.,']",['Periodical'],"['Crystallization', 'Crystallography', 'Macromolecular Substances']","['http://onlinelibrary.wiley.com/journal/10.1107/S2053230X', 'https://www.ncbi.nlm.nih.gov/pmc/journals/2302/']",[],['2053-230X'],True,True,['http://onlinelibrary.wiley.com/journal/10.1107/S2053230X'],['John Wiley & Sons Inc.'],['onlinelibrary.wiley.com'],['wiley.com'],2053-230X,,[],[],True
43,0370307,Acta cytologica.,['eng'],"['International Academy of Cytology', 'Karger']","['Abstracts', 'Periodical']","['Cell Biology', 'Gynecology']",['http://www.karger.com/Journal/Home/254338'],['0001-5547'],['1938-2650'],True,True,['http://www.karger.com/Journal/Home/254338'],"['International Academy of Cytology', 'Karger']",['www.karger.com'],['karger.com'],1938-2650,0001-5547,['https://www.karger.com/Journal/Guidelines/254338'],['https://www.karger.com/Journal/Guidelines/254338'],True
44,0370310,Acta dermato-venereologica.,"['eng', 'fre', 'ger']","['Acta dermato-venereologica', 'Society for the Publication of Acta Dermato-Venereologica']",['Periodical'],"['Dermatology', 'Sexually Transmitted Diseases']",['https://www.medicaljournals.se/acta/'],['0001-5555'],['1651-2057'],True,True,['https://www.medicaljournals.se/acta/'],"['Acta dermato-venereologica', 'Society for the Publication of Acta Dermato-Venereologica']",['www.medicaljournals.se'],['medicaljournals.se'],1651-2057,0001-5555,[],[],True
45,9422563,"Acta dermatovenerologica Alpina, Pannonica, et Adriatica.",['eng'],"['Slovene Welding Society,', 'Združenje Slovenskih Dermatovenerologov']",['Periodical'],"['Sexually Transmitted Diseases', 'Skin Diseases']",['http://bibpurl.oclc.org/web/8256'],['1318-4458'],['1581-2979'],True,True,['http://bibpurl.oclc.org/web/8256'],"['Slovene Welding Society', 'Združenje Slovenskih Dermatovenerologov']",['bibpurl.oclc.org'],['oclc.org'],1581-2979,1318-4458,[],[],True
46,9433781,Acta dermatovenerologica Croatica : ADC.,"['hrv', 'eng', 'eng']","['Hrvatsko dermatološko društvo hrvatskog liječničkog zbora,', 'Croatian Dermatovenerological Society']",['Periodical'],"['Dermatology', 'Sexually Transmitted Diseases', 'Skin Diseases']","['https://hrcak.srce.hr/adc', 'http://adc.mef.hr/']",['1330-027X'],['1847-6538'],True,True,"['https://hrcak.srce.hr/adc', 'http://adc.mef.hr/']","['Hrvatsko dermatološko društvo hrvatskog liječničkog zbora', 'Croatian Dermatovenerological Society']","['hrcak.srce.hr', 'adc.mef.hr']","['srce.hr', 'mef.hr']",1847-6538,1330-027X,[],[],True
47,9200299,Acta diabetologica.,['eng'],"['Springer International,', 'Springer Verlag']",['Periodical'],['Diabetes Mellitus'],['https://link.springer.com/journal/592'],['0940-5429'],['1432-5233'],True,True,['https://link.springer.com/journal/592'],"['Springer International', 'Springer Verlag']",['link.springer.com'],['springer.com'],1432-5233,0940-5429,['https://www.springer.com/journal/592/submission-guidelines'],['https://www.springer.com/journal/592/submission-guidelines'],True
48,0414075,Acta gastro-enterologica Belgica.,['eng'],"['Acta Medica Belgica', 'Universa Press']",['Periodical'],['Gastroenterology'],['http://www.acta-gastroenterologica.be/'],['1784-3227'],[],True,True,['http://www.acta-gastroenterologica.be/'],"['Acta Medica Belgica', 'Universa Press']",['www.acta-gastroenterologica.be'],['acta-gastroenterologica.be'],,1784-3227,[],[],True
49,0141053,Acta haematologica.,['eng'],['Karger.'],['Periodical'],['Hematology'],['http://www.karger.com/Journal/Home/223829'],['0001-5792'],['1421-9662'],True,True,['http://www.karger.com/Journal/Home/223829'],['Karger.'],['www.karger.com'],['karger.com'],1421-9662,0001-5792,['https://www.karger.com/Journal/Guidelines/223829'],['https://www.karger.com/Journal/Guidelines/223829'],True
50,0370320,Acta histochemica.,"['ger', 'eng', 'eng']",['Gustav Fischer Verlag'],['Periodical'],"['Biochemistry', 'Histology']",['http://www.sciencedirect.com/science/journal/00651281'],['0065-1281'],['1618-0372'],True,True,['http://www.sciencedirect.com/science/journal/00651281'],['Gustav Fischer Verlag'],['www.sciencedirect.com'],['sciencedirect.com'],1618-0372,0065-1281,['https://www.elsevier.com/journals/00651281/0065-1281/guide-for-authors'],['https://www.elsevier.com/journals/00651281/0065-1281/guide-for-authors'],True
51,101587903,Acta medica academica.,['eng'],['Akademija nauka i umjetnosti Bosne i Hercegovine'],['Periodical'],['Medicine'],['http://www.anubih.ba/ama'],['1840-1848'],['1840-2879'],True,True,['http://www.anubih.ba/ama'],['Akademija nauka i umjetnosti Bosne i Hercegovine'],['www.anubih.ba'],['anubih.ba'],1840-2879,1840-1848,[],[],True
52,9705947,"Acta medica (Hradec Králové) 
             / Universitas Carolina, Facultas Medica Hradec Králové.",['eng'],"['Universitas Carolina, Facultas Medica Hradec Králové,', 'Facultas Medica Hradec Kralove, Universitas Carolina']",['Periodical'],['Medicine'],['http://actamedica.lfhk.cuni.cz/'],['1211-4286'],['1805-9694'],True,True,['http://actamedica.lfhk.cuni.cz/'],"['Universitas Carolina, Facultas Medica Hradec Králové', 'Facultas Medica Hradec Kralove, Universitas Carolina']",['actamedica.lfhk.cuni.cz'],['cuni.cz'],1805-9694,1211-4286,[],[],True
53,7901042,Acta medica Indonesiana.,['eng'],['Indonesian Society of Internal Medicine'],['Periodical'],['Medicine'],['http://www.actamedindones.org/index.php/ijim'],['0125-9326'],[],True,True,['http://www.actamedindones.org/index.php/ijim'],['Indonesian Society of Internal Medicine'],['www.actamedindones.org'],['actamedindones.org'],,0125-9326,[],[],True
54,0417611,Acta medica Okayama.,['eng'],['Okayama University Medical School'],['Periodical'],['Medicine'],['http://escholarship.lib.okayama-u.ac.jp/amo/'],['0386-300X'],[],True,True,['http://escholarship.lib.okayama-u.ac.jp/amo/'],['Okayama University Medical School'],['escholarship.lib.okayama-u.ac.jp'],['okayama-u.ac.jp'],,0386-300X,[],[],True
55,101241032,Acta medico-historica adriatica : AMHA.,"['hrv', 'eng', 'mul']","['Hrvatsko znanstveno društvo za povijest zdravstvene kulture,']",['Periodical'],"['Europe', 'History of Medicine']",['http://hrcak.srce.hr/amha?lang=en'],['1334-4366'],['1334-6253'],True,True,['http://hrcak.srce.hr/amha?lang=en'],['Hrvatsko znanstveno društvo za povijest zdravstvene kulture'],['hrcak.srce.hr'],['srce.hr'],1334-6253,1334-4366,[],[],True
56,7906803,Acta médica portuguesa.,"['eng', 'por']","['[s.n.]', 'Centro Editor Livreiro da Ordem dos Médicos']",['Periodical'],['Medicine'],['http://www.actamedicaportuguesa.com/'],['0870-399X'],['1646-0758'],True,True,['http://www.actamedicaportuguesa.com/'],"['[s.n.]', 'Centro Editor Livreiro da Ordem dos Médicos']",['www.actamedicaportuguesa.com'],['actamedicaportuguesa.com'],1646-0758,0870-399X,[],[],True
